azimuth,azimuth_stdev,elevation,elevation_stdev,distance,distance_stdev,sequence,sample_index
-51.60810852050781,8.4415922164917,65.2592315673828,10.061424255371094,7.76547622680664,0,3710,0
-50.01556396484375,9.477128982543945,66.99987030029297,11.014078140258789,8.204297065734863,0,3711,1
-48.982208251953125,10.052842140197754,68.2208251953125,11.48301887512207,8.24970817565918,0,3712,2
-49.24775695800781,9.97849464416504,66.0243453979492,10.974281311035156,8.39304447174072,0,3713,3
-49.45362854003906,9.33413791656494,63.120113372802734,9.63400650024414,8.42617416381836,0,3714,4
-49.91766357421875,7.53573179244995,60.58631134033203,7.8050923347473145,8.405240058898926,0,3715,5
-50.24493408203125,4.7190961837768555,61.22633743286133,5.191246032714844,8.386012077331543,0,3716,6
-51.11457824707031,2.71784496307373,60.09592819213867,4.1048712730407715,8.40038776397705,0,3717,7
-51.06620788574219,1.6402876377105713,59.10924530029297,4.368382930755615,8.493213653564453,0,3718,8
-57.99751281738281,3.385493040084839,53.9151840209961,6.04088592529297,8.48386859893799,0,3719,9
-65.08163452148438,6.71355390548706,47.441741943359375,8.74441719055176,8.43791675567627,0,3720,10
-68.94212341308594,9.433406829833984,42.5412940979004,11.212403297424316,8.40152835845947,0,3721,11
-68.69085693359375,10.768938064575195,40.876251220703125,12.366180419921875,8.370161056518555,0,3722,12
-68.24205017089844,11.295028686523438,40.52985382080078,12.777066230773926,8.78736877441406,0,3723,13
-67.6989974975586,11.170598983764648,38.3442611694336,13.176791191101074,8.814465522766113,0,3724,14
-63.40772247314453,10.245528221130371,39.262325286865234,12.993134498596191,8.841562271118164,0,3725,15
-59.57563781738281,9.01057815551758,39.616756439208984,11.805490493774414,8.92634105682373,0,3726,16
-56.66902160644531,7.963647842407227,40.727447509765625,9.796958923339844,8.83869934082031,0,3727,17
-55.473960876464844,6.893253326416016,40.7624626159668,6.61443042755127,8.944273948669434,0,3728,18
-54.81401062011719,7.441454887390137,40.85941696166992,3.4755454063415527,8.919257164001465,0,3729,19
